Budget_initial,Source_financement,Estimation_ROI,Taille_marche,Demande_actuelle,Nombre_concurrents,Avantage_concurrentiel,Impact_social,Impact_environnemental,Conformite_normes,Prevision_rentabilite,Capacite_fonds,Score_faisabilite
50k-100k,Investisseur,<1 an,National,Forte,<5,Prix,Création emplois,Écologique,Oui,<1 an,Difficile,74
50k-100k,Investisseur,1-3 ans,International,Faible,<5,Innovation,Autre,Écologique,Oui,<1 an,Difficile,99
<50k,Prêt bancaire,1-3 ans,International,Faible,>5,Aucun,Amélioration conditions de vie,Neutre,Non,>3 ans,Difficile,50
<50k,Prêt bancaire,>3 ans,International,Forte,>5,Qualité,Aucun,Polluant,Non,1-3 ans,Difficile,79
<50k,Investisseur,1-3 ans,Régional,Modérée,Aucun,Innovation,Création emplois,Neutre,Non,1-3 ans,Facile,34
<50k,Autre,<1 an,National,Modérée,Aucun,Aucun,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,43
<50k,Investisseur,1-3 ans,Local,Modérée,Aucun,Aucun,Autre,Polluant,Non,<1 an,Difficile,80
<50k,Prêt bancaire,1-3 ans,National,Forte,Aucun,Prix,Autre,Écologique,Oui,>3 ans,Difficile,53
>100k,Prêt bancaire,>3 ans,International,Faible,Aucun,Innovation,Amélioration conditions de vie,Polluant,Non,1-3 ans,Facile,59
50k-100k,Fonds propres,1-3 ans,Régional,Faible,<5,Innovation,Création emplois,Écologique,Non,1-3 ans,Facile,35
50k-100k,Autre,<1 an,Local,Forte,>5,Innovation,Création emplois,Neutre,Oui,<1 an,Difficile,94
50k-100k,Fonds propres,<1 an,Local,Faible,<5,Aucun,Amélioration conditions de vie,Écologique,Oui,<1 an,Difficile,84
<50k,Autre,1-3 ans,Local,Faible,>5,Prix,Autre,Neutre,Non,<1 an,Difficile,40
<50k,Fonds propres,<1 an,National,Faible,<5,Aucun,Aucun,Écologique,Oui,1-3 ans,Difficile,68
>100k,Autre,1-3 ans,National,Faible,>5,Aucun,Autre,Écologique,Oui,>3 ans,Facile,51
50k-100k,Autre,>3 ans,National,Faible,<5,Prix,Autre,Polluant,Non,>3 ans,Facile,77
<50k,Investisseur,1-3 ans,Local,Modérée,Aucun,Innovation,Création emplois,Neutre,Non,>3 ans,Difficile,83
>100k,Fonds propres,1-3 ans,International,Forte,>5,Aucun,Autre,Neutre,Oui,>3 ans,Difficile,67
<50k,Investisseur,>3 ans,Local,Modérée,<5,Innovation,Autre,Écologique,Oui,<1 an,Difficile,100
>100k,Fonds propres,<1 an,Régional,Modérée,>5,Aucun,Aucun,Polluant,Oui,1-3 ans,Difficile,59
<50k,Fonds propres,<1 an,International,Faible,Aucun,Qualité,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,33
50k-100k,Autre,>3 ans,National,Forte,>5,Innovation,Création emplois,Neutre,Oui,<1 an,Facile,96
<50k,Prêt bancaire,>3 ans,Régional,Modérée,<5,Prix,Création emplois,Polluant,Oui,<1 an,Facile,65
50k-100k,Investisseur,1-3 ans,International,Faible,<5,Qualité,Création emplois,Neutre,Oui,<1 an,Facile,97
>100k,Investisseur,<1 an,Régional,Modérée,<5,Qualité,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,97
50k-100k,Autre,<1 an,Local,Forte,Aucun,Prix,Création emplois,Neutre,Non,<1 an,Facile,65
50k-100k,Prêt bancaire,<1 an,International,Faible,<5,Aucun,Création emplois,Neutre,Non,1-3 ans,Difficile,86
<50k,Autre,1-3 ans,National,Forte,Aucun,Prix,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,52
<50k,Fonds propres,1-3 ans,National,Modérée,Aucun,Innovation,Aucun,Neutre,Non,1-3 ans,Facile,61
<50k,Prêt bancaire,>3 ans,National,Faible,>5,Innovation,Aucun,Polluant,Oui,<1 an,Difficile,81
50k-100k,Investisseur,<1 an,Régional,Modérée,Aucun,Prix,Création emplois,Polluant,Oui,>3 ans,Facile,83
50k-100k,Investisseur,1-3 ans,International,Forte,Aucun,Prix,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,44
50k-100k,Investisseur,>3 ans,International,Forte,<5,Aucun,Création emplois,Polluant,Non,>3 ans,Facile,85
50k-100k,Prêt bancaire,>3 ans,Régional,Faible,<5,Innovation,Autre,Polluant,Oui,<1 an,Facile,47
>100k,Autre,<1 an,Local,Faible,<5,Aucun,Aucun,Polluant,Oui,1-3 ans,Facile,31
>100k,Investisseur,1-3 ans,International,Faible,<5,Aucun,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,70
>100k,Fonds propres,1-3 ans,Régional,Forte,<5,Innovation,Création emplois,Neutre,Oui,<1 an,Facile,70
<50k,Autre,<1 an,International,Modérée,<5,Innovation,Création emplois,Neutre,Oui,1-3 ans,Facile,83
<50k,Prêt bancaire,<1 an,Local,Modérée,Aucun,Prix,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,100
>100k,Investisseur,>3 ans,Régional,Modérée,<5,Innovation,Création emplois,Polluant,Non,1-3 ans,Difficile,96
>100k,Prêt bancaire,<1 an,Local,Modérée,Aucun,Prix,Autre,Écologique,Non,1-3 ans,Facile,50
>100k,Fonds propres,>3 ans,National,Modérée,<5,Innovation,Création emplois,Écologique,Non,<1 an,Difficile,94
50k-100k,Investisseur,<1 an,Local,Modérée,>5,Prix,Autre,Polluant,Non,<1 an,Facile,54
>100k,Autre,>3 ans,National,Forte,Aucun,Innovation,Autre,Polluant,Oui,1-3 ans,Difficile,54
>100k,Prêt bancaire,>3 ans,National,Forte,Aucun,Aucun,Aucun,Écologique,Non,>3 ans,Facile,33
50k-100k,Fonds propres,>3 ans,National,Forte,Aucun,Aucun,Amélioration conditions de vie,Neutre,Oui,>3 ans,Facile,37
<50k,Investisseur,>3 ans,Local,Forte,Aucun,Qualité,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,65
>100k,Autre,>3 ans,Local,Faible,<5,Qualité,Création emplois,Écologique,Oui,>3 ans,Difficile,73
50k-100k,Fonds propres,1-3 ans,Local,Modérée,>5,Aucun,Création emplois,Polluant,Non,<1 an,Difficile,54
<50k,Autre,<1 an,National,Forte,<5,Aucun,Amélioration conditions de vie,Neutre,Non,<1 an,Difficile,78
>100k,Autre,<1 an,Régional,Forte,Aucun,Prix,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,100
>100k,Investisseur,>3 ans,International,Faible,Aucun,Aucun,Création emplois,Neutre,Non,1-3 ans,Difficile,31
50k-100k,Autre,1-3 ans,National,Faible,Aucun,Innovation,Autre,Polluant,Oui,<1 an,Facile,63
>100k,Autre,1-3 ans,National,Forte,Aucun,Aucun,Création emplois,Neutre,Oui,1-3 ans,Facile,58
50k-100k,Investisseur,1-3 ans,Régional,Forte,<5,Innovation,Autre,Polluant,Non,1-3 ans,Facile,88
50k-100k,Prêt bancaire,1-3 ans,International,Modérée,<5,Innovation,Création emplois,Neutre,Oui,<1 an,Facile,91
<50k,Fonds propres,<1 an,International,Forte,Aucun,Qualité,Aucun,Polluant,Oui,>3 ans,Facile,61
50k-100k,Fonds propres,>3 ans,National,Forte,>5,Prix,Aucun,Polluant,Oui,>3 ans,Difficile,41
>100k,Investisseur,>3 ans,International,Modérée,Aucun,Aucun,Création emplois,Neutre,Oui,<1 an,Difficile,62
<50k,Autre,1-3 ans,National,Forte,>5,Aucun,Création emplois,Polluant,Non,<1 an,Difficile,74
>100k,Fonds propres,<1 an,International,Forte,>5,Innovation,Aucun,Polluant,Oui,>3 ans,Difficile,82
>100k,Prêt bancaire,1-3 ans,International,Forte,<5,Innovation,Création emplois,Polluant,Oui,>3 ans,Facile,91
<50k,Investisseur,<1 an,International,Forte,>5,Qualité,Aucun,Neutre,Oui,<1 an,Facile,99
>100k,Prêt bancaire,<1 an,Local,Faible,>5,Innovation,Autre,Polluant,Non,<1 an,Facile,67
<50k,Fonds propres,>3 ans,International,Modérée,>5,Prix,Amélioration conditions de vie,Polluant,Oui,<1 an,Difficile,38
>100k,Fonds propres,>3 ans,International,Forte,<5,Aucun,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,71
>100k,Fonds propres,>3 ans,International,Modérée,>5,Qualité,Création emplois,Polluant,Oui,1-3 ans,Difficile,57
<50k,Investisseur,1-3 ans,International,Forte,Aucun,Qualité,Création emplois,Neutre,Non,1-3 ans,Facile,49
>100k,Fonds propres,<1 an,National,Faible,<5,Qualité,Autre,Neutre,Oui,>3 ans,Facile,94
>100k,Fonds propres,>3 ans,International,Faible,Aucun,Prix,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,83
<50k,Fonds propres,1-3 ans,Régional,Forte,<5,Aucun,Création emplois,Écologique,Non,<1 an,Facile,96
50k-100k,Fonds propres,1-3 ans,National,Modérée,>5,Aucun,Amélioration conditions de vie,Écologique,Non,>3 ans,Facile,58
>100k,Autre,1-3 ans,National,Faible,>5,Innovation,Création emplois,Polluant,Non,1-3 ans,Facile,84
>100k,Fonds propres,1-3 ans,International,Modérée,<5,Prix,Amélioration conditions de vie,Polluant,Oui,>3 ans,Facile,48
>100k,Autre,1-3 ans,International,Faible,Aucun,Qualité,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,100
>100k,Prêt bancaire,1-3 ans,National,Forte,>5,Qualité,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,53
>100k,Autre,<1 an,Régional,Faible,Aucun,Qualité,Création emplois,Écologique,Non,>3 ans,Difficile,60
50k-100k,Fonds propres,1-3 ans,Local,Forte,<5,Qualité,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,35
<50k,Investisseur,<1 an,Régional,Forte,<5,Prix,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,30
<50k,Fonds propres,<1 an,National,Modérée,>5,Aucun,Amélioration conditions de vie,Polluant,Non,1-3 ans,Difficile,81
>100k,Autre,<1 an,Local,Modérée,>5,Prix,Création emplois,Neutre,Oui,>3 ans,Facile,75
<50k,Investisseur,1-3 ans,Local,Faible,Aucun,Qualité,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,53
>100k,Prêt bancaire,<1 an,Régional,Forte,Aucun,Aucun,Création emplois,Neutre,Non,>3 ans,Facile,67
50k-100k,Fonds propres,1-3 ans,Régional,Forte,>5,Qualité,Création emplois,Neutre,Non,1-3 ans,Facile,96
<50k,Prêt bancaire,>3 ans,Régional,Forte,>5,Aucun,Autre,Polluant,Non,>3 ans,Facile,97
<50k,Prêt bancaire,>3 ans,National,Forte,<5,Prix,Création emplois,Neutre,Oui,<1 an,Difficile,38
<50k,Fonds propres,>3 ans,International,Modérée,<5,Aucun,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,39
<50k,Prêt bancaire,>3 ans,Local,Modérée,<5,Innovation,Aucun,Neutre,Oui,1-3 ans,Facile,43
>100k,Autre,<1 an,International,Modérée,Aucun,Aucun,Aucun,Polluant,Non,<1 an,Facile,32
50k-100k,Autre,1-3 ans,International,Modérée,>5,Innovation,Amélioration conditions de vie,Écologique,Oui,>3 ans,Difficile,75
>100k,Autre,1-3 ans,National,Forte,Aucun,Aucun,Amélioration conditions de vie,Neutre,Non,<1 an,Facile,35
>100k,Investisseur,1-3 ans,International,Faible,>5,Aucun,Aucun,Neutre,Non,<1 an,Facile,40
50k-100k,Investisseur,>3 ans,Local,Modérée,>5,Innovation,Aucun,Polluant,Oui,>3 ans,Difficile,52
<50k,Fonds propres,1-3 ans,Régional,Forte,Aucun,Qualité,Aucun,Neutre,Non,>3 ans,Difficile,70
>100k,Investisseur,1-3 ans,Local,Forte,<5,Prix,Création emplois,Écologique,Non,1-3 ans,Difficile,47
50k-100k,Investisseur,1-3 ans,International,Faible,Aucun,Innovation,Création emplois,Polluant,Non,<1 an,Difficile,54
50k-100k,Fonds propres,1-3 ans,National,Forte,>5,Qualité,Autre,Polluant,Non,1-3 ans,Difficile,58
>100k,Fonds propres,>3 ans,Régional,Modérée,>5,Qualité,Création emplois,Neutre,Non,<1 an,Facile,36
50k-100k,Investisseur,1-3 ans,Local,Faible,>5,Qualité,Création emplois,Neutre,Oui,>3 ans,Difficile,53
50k-100k,Fonds propres,1-3 ans,Régional,Faible,<5,Aucun,Autre,Polluant,Oui,<1 an,Difficile,52
<50k,Fonds propres,<1 an,International,Faible,Aucun,Prix,Autre,Neutre,Non,1-3 ans,Difficile,49
50k-100k,Autre,1-3 ans,Régional,Faible,Aucun,Qualité,Aucun,Neutre,Non,1-3 ans,Difficile,54
<50k,Investisseur,>3 ans,National,Faible,Aucun,Prix,Aucun,Polluant,Non,<1 an,Facile,94
>100k,Autre,<1 an,Local,Modérée,>5,Innovation,Aucun,Polluant,Oui,1-3 ans,Facile,52
50k-100k,Autre,1-3 ans,Local,Faible,>5,Innovation,Aucun,Neutre,Non,>3 ans,Facile,54
50k-100k,Prêt bancaire,<1 an,Régional,Forte,>5,Prix,Autre,Écologique,Oui,1-3 ans,Facile,37
>100k,Autre,1-3 ans,International,Forte,<5,Aucun,Aucun,Écologique,Oui,1-3 ans,Facile,91
>100k,Autre,>3 ans,Régional,Modérée,>5,Innovation,Aucun,Écologique,Oui,<1 an,Facile,83
>100k,Investisseur,>3 ans,Local,Modérée,<5,Prix,Création emplois,Polluant,Non,>3 ans,Difficile,37
<50k,Prêt bancaire,1-3 ans,Régional,Forte,Aucun,Innovation,Amélioration conditions de vie,Polluant,Non,1-3 ans,Difficile,100
<50k,Autre,>3 ans,International,Modérée,<5,Qualité,Autre,Écologique,Oui,>3 ans,Difficile,82
>100k,Investisseur,<1 an,International,Modérée,>5,Innovation,Autre,Polluant,Non,<1 an,Difficile,99
<50k,Fonds propres,1-3 ans,Régional,Faible,Aucun,Prix,Création emplois,Neutre,Non,1-3 ans,Facile,72
>100k,Prêt bancaire,1-3 ans,International,Modérée,<5,Prix,Création emplois,Neutre,Oui,>3 ans,Facile,73
50k-100k,Prêt bancaire,>3 ans,Local,Forte,<5,Qualité,Autre,Polluant,Non,<1 an,Facile,49
50k-100k,Fonds propres,<1 an,Local,Faible,>5,Innovation,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,86
50k-100k,Autre,<1 an,National,Modérée,Aucun,Prix,Autre,Écologique,Non,>3 ans,Difficile,74
<50k,Investisseur,<1 an,National,Forte,>5,Prix,Autre,Neutre,Non,<1 an,Facile,92
<50k,Prêt bancaire,1-3 ans,International,Modérée,<5,Aucun,Amélioration conditions de vie,Écologique,Oui,<1 an,Difficile,57
50k-100k,Prêt bancaire,>3 ans,National,Faible,>5,Aucun,Création emplois,Polluant,Oui,1-3 ans,Facile,88
<50k,Fonds propres,<1 an,Régional,Faible,<5,Aucun,Création emplois,Polluant,Non,1-3 ans,Difficile,40
<50k,Autre,1-3 ans,National,Faible,Aucun,Innovation,Création emplois,Écologique,Non,>3 ans,Facile,99
>100k,Investisseur,1-3 ans,Régional,Forte,>5,Aucun,Autre,Polluant,Oui,<1 an,Difficile,38
<50k,Investisseur,1-3 ans,National,Faible,>5,Innovation,Création emplois,Polluant,Non,<1 an,Difficile,75
>100k,Prêt bancaire,>3 ans,Local,Modérée,>5,Prix,Autre,Écologique,Non,<1 an,Difficile,100
50k-100k,Fonds propres,<1 an,Local,Faible,Aucun,Prix,Création emplois,Écologique,Non,>3 ans,Difficile,33
>100k,Prêt bancaire,<1 an,Local,Modérée,Aucun,Innovation,Autre,Polluant,Oui,>3 ans,Difficile,80
>100k,Prêt bancaire,1-3 ans,Local,Forte,<5,Prix,Autre,Neutre,Oui,1-3 ans,Difficile,53
50k-100k,Autre,1-3 ans,National,Forte,Aucun,Prix,Aucun,Neutre,Oui,>3 ans,Facile,34
>100k,Prêt bancaire,<1 an,National,Faible,>5,Qualité,Autre,Neutre,Non,1-3 ans,Difficile,82
50k-100k,Autre,<1 an,Local,Faible,<5,Prix,Amélioration conditions de vie,Écologique,Non,1-3 ans,Difficile,65
>100k,Investisseur,<1 an,National,Modérée,>5,Aucun,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,95
>100k,Prêt bancaire,1-3 ans,Régional,Faible,Aucun,Aucun,Aucun,Polluant,Oui,>3 ans,Facile,81
50k-100k,Prêt bancaire,<1 an,International,Forte,<5,Aucun,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Difficile,60
50k-100k,Autre,1-3 ans,Régional,Modérée,<5,Prix,Création emplois,Polluant,Oui,<1 an,Facile,40
50k-100k,Fonds propres,1-3 ans,National,Faible,<5,Aucun,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,37
50k-100k,Fonds propres,1-3 ans,Régional,Faible,>5,Innovation,Création emplois,Neutre,Oui,<1 an,Difficile,76
>100k,Autre,<1 an,International,Forte,<5,Prix,Autre,Polluant,Non,1-3 ans,Difficile,64
<50k,Prêt bancaire,<1 an,Régional,Faible,>5,Innovation,Création emplois,Écologique,Oui,1-3 ans,Difficile,38
>100k,Fonds propres,1-3 ans,National,Forte,>5,Innovation,Amélioration conditions de vie,Polluant,Oui,>3 ans,Facile,93
<50k,Prêt bancaire,1-3 ans,International,Faible,Aucun,Aucun,Autre,Écologique,Oui,>3 ans,Difficile,37
50k-100k,Investisseur,1-3 ans,Local,Modérée,>5,Innovation,Autre,Neutre,Oui,>3 ans,Facile,32
50k-100k,Prêt bancaire,>3 ans,Local,Forte,Aucun,Aucun,Autre,Polluant,Non,>3 ans,Facile,49
50k-100k,Prêt bancaire,<1 an,National,Faible,Aucun,Innovation,Aucun,Polluant,Non,1-3 ans,Difficile,35
>100k,Autre,>3 ans,National,Modérée,<5,Prix,Autre,Écologique,Non,>3 ans,Facile,77
50k-100k,Autre,1-3 ans,National,Faible,>5,Prix,Autre,Polluant,Non,1-3 ans,Facile,53
50k-100k,Autre,1-3 ans,Régional,Forte,<5,Prix,Autre,Polluant,Non,<1 an,Facile,33
>100k,Autre,<1 an,International,Modérée,<5,Qualité,Aucun,Neutre,Oui,1-3 ans,Facile,63
50k-100k,Autre,1-3 ans,Régional,Forte,Aucun,Aucun,Amélioration conditions de vie,Écologique,Non,>3 ans,Facile,36
<50k,Prêt bancaire,1-3 ans,Local,Forte,Aucun,Innovation,Amélioration conditions de vie,Polluant,Oui,<1 an,Difficile,91
<50k,Fonds propres,1-3 ans,International,Modérée,<5,Qualité,Création emplois,Écologique,Non,1-3 ans,Facile,31
50k-100k,Investisseur,>3 ans,Régional,Forte,Aucun,Qualité,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,100
50k-100k,Investisseur,<1 an,Local,Faible,Aucun,Prix,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,65
>100k,Prêt bancaire,>3 ans,Local,Forte,>5,Innovation,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,54
<50k,Investisseur,>3 ans,International,Faible,<5,Qualité,Amélioration conditions de vie,Écologique,Non,>3 ans,Facile,47
>100k,Prêt bancaire,>3 ans,Local,Modérée,<5,Prix,Aucun,Polluant,Oui,<1 an,Difficile,72
<50k,Prêt bancaire,<1 an,Régional,Modérée,>5,Prix,Création emplois,Polluant,Non,1-3 ans,Difficile,76
<50k,Fonds propres,<1 an,Local,Forte,>5,Qualité,Aucun,Neutre,Oui,>3 ans,Facile,90
50k-100k,Prêt bancaire,>3 ans,National,Forte,<5,Innovation,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,44
<50k,Investisseur,1-3 ans,International,Modérée,<5,Aucun,Amélioration conditions de vie,Neutre,Non,<1 an,Facile,92
50k-100k,Fonds propres,>3 ans,International,Modérée,>5,Prix,Création emplois,Polluant,Non,>3 ans,Facile,69
>100k,Prêt bancaire,1-3 ans,Local,Faible,<5,Innovation,Autre,Polluant,Oui,>3 ans,Difficile,35
50k-100k,Fonds propres,<1 an,Régional,Modérée,<5,Qualité,Aucun,Écologique,Non,>3 ans,Facile,45
<50k,Prêt bancaire,1-3 ans,Local,Forte,<5,Innovation,Création emplois,Neutre,Oui,>3 ans,Difficile,96
50k-100k,Autre,1-3 ans,Local,Forte,Aucun,Qualité,Création emplois,Écologique,Non,1-3 ans,Difficile,42
>100k,Investisseur,>3 ans,Local,Modérée,>5,Aucun,Autre,Neutre,Non,>3 ans,Facile,48
>100k,Prêt bancaire,>3 ans,National,Forte,>5,Aucun,Autre,Neutre,Non,1-3 ans,Facile,95
<50k,Fonds propres,<1 an,Local,Modérée,Aucun,Innovation,Création emplois,Polluant,Oui,>3 ans,Facile,82
<50k,Fonds propres,>3 ans,Régional,Modérée,>5,Qualité,Création emplois,Polluant,Oui,>3 ans,Facile,53
>100k,Prêt bancaire,1-3 ans,Régional,Modérée,>5,Prix,Autre,Polluant,Non,1-3 ans,Difficile,92
>100k,Investisseur,>3 ans,Local,Modérée,Aucun,Aucun,Autre,Neutre,Non,1-3 ans,Facile,46
>100k,Autre,>3 ans,International,Modérée,>5,Innovation,Création emplois,Neutre,Oui,1-3 ans,Facile,53
>100k,Investisseur,1-3 ans,International,Forte,Aucun,Qualité,Création emplois,Polluant,Non,>3 ans,Difficile,59
50k-100k,Fonds propres,>3 ans,Régional,Modérée,<5,Aucun,Autre,Polluant,Oui,>3 ans,Difficile,93
50k-100k,Fonds propres,1-3 ans,International,Modérée,>5,Aucun,Création emplois,Neutre,Non,>3 ans,Difficile,82
<50k,Investisseur,<1 an,National,Faible,Aucun,Qualité,Amélioration conditions de vie,Polluant,Non,<1 an,Facile,49
50k-100k,Investisseur,<1 an,International,Forte,Aucun,Innovation,Amélioration conditions de vie,Neutre,Non,>3 ans,Difficile,54
>100k,Autre,1-3 ans,Régional,Forte,>5,Prix,Aucun,Écologique,Oui,<1 an,Difficile,91
<50k,Prêt bancaire,>3 ans,National,Modérée,>5,Aucun,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,44
<50k,Prêt bancaire,1-3 ans,Régional,Modérée,<5,Innovation,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,56
<50k,Prêt bancaire,<1 an,National,Forte,Aucun,Prix,Aucun,Neutre,Non,1-3 ans,Difficile,90
<50k,Fonds propres,1-3 ans,Local,Forte,Aucun,Innovation,Création emplois,Polluant,Non,>3 ans,Facile,45
>100k,Autre,1-3 ans,Régional,Faible,<5,Innovation,Création emplois,Écologique,Non,1-3 ans,Facile,44
>100k,Investisseur,<1 an,National,Forte,>5,Aucun,Création emplois,Neutre,Oui,1-3 ans,Facile,60
<50k,Fonds propres,1-3 ans,International,Faible,>5,Prix,Création emplois,Écologique,Non,>3 ans,Facile,42
50k-100k,Fonds propres,<1 an,Régional,Faible,>5,Aucun,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,66
50k-100k,Fonds propres,<1 an,International,Modérée,>5,Prix,Autre,Polluant,Non,1-3 ans,Difficile,57
>100k,Prêt bancaire,1-3 ans,International,Faible,Aucun,Qualité,Amélioration conditions de vie,Écologique,Non,<1 an,Difficile,81
<50k,Prêt bancaire,<1 an,International,Forte,Aucun,Prix,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Difficile,53
50k-100k,Prêt bancaire,>3 ans,National,Modérée,<5,Qualité,Autre,Écologique,Oui,<1 an,Facile,30
>100k,Fonds propres,1-3 ans,International,Modérée,<5,Aucun,Création emplois,Polluant,Non,>3 ans,Difficile,59
<50k,Fonds propres,>3 ans,National,Forte,>5,Qualité,Création emplois,Écologique,Non,<1 an,Facile,69
50k-100k,Fonds propres,>3 ans,International,Modérée,>5,Aucun,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Difficile,38
<50k,Investisseur,>3 ans,National,Forte,>5,Innovation,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,67
50k-100k,Autre,<1 an,National,Forte,<5,Prix,Création emplois,Écologique,Oui,1-3 ans,Difficile,78
>100k,Investisseur,1-3 ans,National,Faible,<5,Innovation,Amélioration conditions de vie,Neutre,Non,1-3 ans,Facile,54
>100k,Fonds propres,1-3 ans,National,Faible,Aucun,Qualité,Création emplois,Écologique,Oui,>3 ans,Facile,94
>100k,Autre,<1 an,Local,Forte,<5,Innovation,Création emplois,Écologique,Non,1-3 ans,Difficile,62
<50k,Autre,>3 ans,National,Modérée,>5,Innovation,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,39
<50k,Investisseur,>3 ans,International,Faible,Aucun,Aucun,Autre,Écologique,Oui,1-3 ans,Difficile,47
<50k,Investisseur,>3 ans,National,Faible,>5,Prix,Autre,Neutre,Oui,1-3 ans,Facile,99
>100k,Autre,1-3 ans,National,Faible,>5,Innovation,Amélioration conditions de vie,Neutre,Oui,>3 ans,Difficile,56
>100k,Investisseur,>3 ans,International,Forte,<5,Aucun,Aucun,Polluant,Non,>3 ans,Facile,96
>100k,Fonds propres,1-3 ans,Régional,Modérée,>5,Prix,Autre,Neutre,Oui,1-3 ans,Facile,58
>100k,Prêt bancaire,<1 an,Local,Faible,Aucun,Prix,Aucun,Écologique,Oui,1-3 ans,Difficile,76
50k-100k,Autre,1-3 ans,Local,Faible,Aucun,Innovation,Autre,Écologique,Non,1-3 ans,Facile,70
50k-100k,Fonds propres,>3 ans,Local,Modérée,Aucun,Qualité,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,49
50k-100k,Fonds propres,1-3 ans,Régional,Forte,Aucun,Qualité,Aucun,Écologique,Oui,>3 ans,Facile,30
